document.id,topic.id,method,score
3541,4.541,exact-match,0.0
3551,4.499,exact-match,0.0
3551,4.731,exact-match,0.0
3551,4.24,exact-match,0.0
3551,4.198,exact-match,0.0
3551,4.161,exact-match,0.0
3551,4.772,exact-match,0.0
3551,4.312,exact-match,0.0
3551,4.520,exact-match,0.0
3551,4.815,exact-match,0.0
3551,4.426,exact-match,0.0
3551,4.98,exact-match,0.0
3551,4.53,exact-match,0.0
3551,4.438,exact-match,0.0
3551,4.12,exact-match,0.0
3551,4.630,exact-match,0.0
3551,4.339,exact-match,0.0
3551,4.439,exact-match,0.0
3551,4.736,exact-match,0.0
3551,4.522,exact-match,0.0
3551,4.519,exact-match,0.0
3551,4.782,exact-match,0.0
3551,4.433,exact-match,0.0
3551,4.531,exact-match,0.0
3551,4.170,exact-match,0.0
3551,4.814,exact-match,0.0
3551,4.306,exact-match,0.0
3551,4.619,exact-match,0.0
3551,4.99,exact-match,0.0
3551,4.207,exact-match,0.0
3551,4.632,exact-match,0.0
3551,4.285,exact-match,0.0
3551,4.22,exact-match,0.0
3551,4.407,exact-match,0.0
3551,4.629,exact-match,0.0
3551,4.470,exact-match,0.0
3551,4.432,exact-match,0.0
3551,4.623,exact-match,0.0
3551,4.68,exact-match,0.0
3551,4.684,exact-match,0.0
3551,4.9,exact-match,0.0
3551,4.536,exact-match,0.0
3551,4.613,exact-match,0.0
3551,4.23,exact-match,0.0
3551,4.393,exact-match,0.0
3551,4.469,exact-match,0.0
3551,4.405,exact-match,0.0
3551,4.699,exact-match,0.0
3551,4.571,exact-match,0.0
3551,4.338,exact-match,0.0
3551,4.41,exact-match,0.0
3561,4.0,exact-match,0.0
3561,4.338,exact-match,0.0
3561,4.721,exact-match,0.0
3561,4.200,exact-match,0.0
3561,4.643,exact-match,0.0
3561,4.757,exact-match,0.0
3561,4.219,exact-match,0.0
3561,4.598,exact-match,0.0
3561,4.756,exact-match,0.0
3561,4.449,exact-match,0.0
3561,4.752,exact-match,0.0
3561,4.571,exact-match,0.0
3561,4.221,exact-match,0.0
3561,4.218,exact-match,0.0
3561,4.299,exact-match,0.0
3561,4.456,exact-match,0.0
3561,4.207,exact-match,0.0
3561,4.611,exact-match,0.0
3561,4.532,exact-match,0.0
3561,4.297,exact-match,0.0
3561,4.355,exact-match,0.0
3561,4.619,exact-match,0.0
3561,4.184,exact-match,0.0
3561,4.435,exact-match,0.0
3561,4.337,exact-match,0.0
3561,4.95,exact-match,0.0
3561,4.401,exact-match,0.0
3561,4.44,exact-match,0.0
3561,4.175,exact-match,0.0
3561,4.616,exact-match,0.0
3561,4.53,exact-match,0.0
3561,4.399,exact-match,0.0
3561,4.644,exact-match,0.0
3561,4.439,exact-match,0.0
3561,4.613,exact-match,0.0
3561,4.765,exact-match,0.0
3561,4.731,exact-match,0.0
3561,4.400,exact-match,0.0
3561,4.9,exact-match,0.0
3561,4.590,exact-match,0.0
3561,4.800,exact-match,0.0
3561,4.814,exact-match,0.0
3561,4.140,exact-match,0.0
3561,4.187,exact-match,0.0
3561,4.557,exact-match,0.0
3561,4.335,exact-match,0.0
3561,4.393,exact-match,0.0
3561,4.699,exact-match,0.0
3561,4.583,exact-match,0.0
3561,4.226,exact-match,0.0
3571,4.611,exact-match,0.0
3571,4.98,exact-match,0.0
3571,4.175,exact-match,0.0
3571,4.426,exact-match,0.0
3571,4.170,exact-match,0.0
3571,4.433,exact-match,0.0
3571,4.41,exact-match,0.0
3571,4.23,exact-match,0.0
3571,4.161,exact-match,0.0
3571,4.619,exact-match,0.0
3571,4.520,exact-match,0.0
3571,4.557,exact-match,0.0
3571,4.536,exact-match,0.0
3571,4.772,exact-match,0.0
3571,4.198,exact-match,0.0
3571,4.630,exact-match,0.0
3571,4.438,exact-match,0.0
3571,4.12,exact-match,0.0
3571,4.531,exact-match,0.0
3571,4.469,exact-match,0.0
3571,4.656,exact-match,0.0
3571,4.401,exact-match,0.0
3571,4.226,exact-match,0.0
3571,4.312,exact-match,0.0
3571,4.499,exact-match,0.0
3571,4.285,exact-match,0.0
3571,4.814,exact-match,0.0
3571,4.207,exact-match,0.0
3571,4.99,exact-match,0.0
3571,4.306,exact-match,0.0
3571,4.9,exact-match,0.0
3571,4.338,exact-match,0.0
3571,4.571,exact-match,0.0
3571,4.699,exact-match,0.0
3571,4.407,exact-match,0.0
3571,4.632,exact-match,0.0
3571,4.393,exact-match,0.0
3571,4.629,exact-match,0.0
3571,4.400,exact-match,0.0
3571,4.53,exact-match,0.0
3571,4.22,exact-match,0.0
3571,4.731,exact-match,0.0
3571,4.684,exact-match,0.0
3571,4.68,exact-match,0.0
3571,4.470,exact-match,0.0
3571,4.432,exact-match,0.0
3571,4.439,exact-match,0.0
3571,4.623,exact-match,0.0
3571,4.405,exact-match,0.0
3571,4.613,exact-match,0.0
3581,4.520,exact-match,0.0
3581,4.772,exact-match,0.0
3581,4.198,exact-match,0.0
3581,4.161,exact-match,0.0
3581,4.396,exact-match,0.0
3581,4.28,exact-match,0.0
3581,4.170,exact-match,0.0
3581,4.393,exact-match,0.0
3581,4.395,exact-match,0.0
3581,4.321,exact-match,0.0
3581,4.312,exact-match,0.0
3581,4.426,exact-match,0.0
3581,4.401,exact-match,0.0
3581,4.338,exact-match,0.0
3581,4.41,exact-match,0.0
3581,4.400,exact-match,0.0
3581,4.699,exact-match,0.0
3581,4.339,exact-match,0.0
3581,4.438,exact-match,0.0
3581,4.604,exact-match,0.0
3581,4.583,exact-match,0.0
3581,4.456,exact-match,0.0
3581,4.24,exact-match,0.0
3581,4.449,exact-match,0.0
3581,4.528,exact-match,0.0
3581,4.814,exact-match,0.0
3581,4.207,exact-match,0.0
3581,4.571,exact-match,0.0
3581,4.99,exact-match,0.0
3581,4.306,exact-match,0.0
3581,4.632,exact-match,0.0
3581,4.407,exact-match,0.0
3581,4.9,exact-match,0.0
3581,4.285,exact-match,0.0
3581,4.629,exact-match,0.0
3581,4.731,exact-match,0.0
3581,4.470,exact-match,0.0
3581,4.68,exact-match,0.0
3581,4.22,exact-match,0.0
3581,4.23,exact-match,0.0
3581,4.756,exact-match,0.0
3581,4.684,exact-match,0.0
3581,4.656,exact-match,0.0
3581,4.445,exact-match,0.0
3581,4.439,exact-match,0.0
3581,4.469,exact-match,0.0
3581,4.613,exact-match,0.0
3581,4.405,exact-match,0.0
3581,4.623,exact-match,0.0
3581,4.432,exact-match,0.0
3591,4.421,exact-match,0.0
3591,4.611,exact-match,0.0
3591,4.41,exact-match,0.0
3591,4.103,exact-match,0.0
3591,4.417,exact-match,0.0
3591,4.226,exact-match,0.0
3591,4.23,exact-match,0.0
3591,4.704,exact-match,0.0
3591,4.731,exact-match,0.0
3591,4.170,exact-match,0.0
3591,4.772,exact-match,0.0
3591,4.536,exact-match,0.0
3591,4.161,exact-match,0.0
3591,4.312,exact-match,0.0
3591,4.198,exact-match,0.0
3591,4.519,exact-match,0.0
3591,4.439,exact-match,0.0
3591,4.395,exact-match,0.0
3591,4.469,exact-match,0.0
3591,4.613,exact-match,0.0
3591,4.736,exact-match,0.0
3591,4.98,exact-match,0.0
3591,4.68,exact-match,0.0
3591,4.520,exact-match,0.0
3591,4.339,exact-match,0.0
3591,4.407,exact-match,0.0
3591,4.470,exact-match,0.0
